,Open,High,Close
93,1048.0,1050.88,1047.72
94,1049.65,1053.41,1052.39
95,1049.1,1052.59,1042.68
96,1042.75,1050.66,1049.99
97,1039.99,1045.52,1042.97
98,1036.32,1047.86,1042.6
99,1033.0,1041.0,1033.04
100,1029.16,1039.83,1033.13
101,1030.99,1063.62,1033.67
102,998.47,1006.51,991.42
103,986.27,994.43,991.46
104,986.5,989.26,988.49
105,1005.18,1005.79,985.54
106,1007.05,1008.65,1005.07
107,1004.75,1007.32,1001.84
108,1011.05,1016.31,1012.74
109,1007.44,1014.56,1011.0
110,1009.63,1012.0,1009.35
111,1009.11,1014.76,1007.87
112,1003.84,1011.54,1005.65
113,989.04,1007.56,1005.65
114,995.3,997.47,987.8
115,995.0,1000.46,992.31
116,980.0,994.26,993.64
117,972.79,986.5085,985.19
118,971.76,974.4,966.78
119,967.56,972.44,972.08
120,975.65,977.74,967.47
121,966.0,975.81,973.72
122,956.25,966.18,964.81
123,942.74,965.43,959.9
124,936.69,944.08,937.43
125,939.45,939.75,934.28
126,942.77,950.0,943.26
127,948.13,952.8,947.55
128,937.73,950.0,947.54
129,933.41,937.94,936.86
130,935.01,936.86,929.75
131,940.09,941.75,935.29
132,946.0,948.03,940.13
133,945.5,952.85,950.44
134,946.92,948.085,946.65
135,947.2,952.68,943.29
136,949.7,950.7,941.41
137,944.25,950.4965,949.89
138,943.87,944.5,942.02
139,946.86,951.3854,941.48
140,957.47,958.33,951.99
141,946.3,957.195,955.24
142,935.67,945.86,943.63
143,919.95,938.19,935.75
144,931.88,934.85,928.13
145,939.21,940.73,930.5
146,943.71,946.31,936.89
147,937.0,945.425,942.58
148,926.96,941.9617,940.4
149,925.77,928.25,920.87
150,926.98,931.02,926.18
151,942.95,943.81,927.66
152,941.25,949.9,944.27
153,941.03,943.07,938.08
154,939.07,941.04,938.93
155,923.71,933.36,930.09
156,935.0,936.3,923.59
157,938.45,943.76,940.08
158,944.29,952.49,944.19
159,947.52,948.96,945.75
160,943.95,947.54,945.79
161,949.1,950.0,940.3
162,948.37,949.1,947.64
163,947.81,954.49,946.56
164,960.0,961.1925,945.5
165,947.99,961.79,958.33
166,969.18,969.52,952.51
167,972.78,973.95,965.31
168,970.7,976.73,969.03
169,994.1,1006.19,998.31
170,989.0,995.11,993.84
171,997.0,998.68,992.19
172,990.01,995.6,992.77
173,973.36,990.85,986.95
174,976.32,983.35,975.96
175,974.0,977.54,976.91
176,970.8,978.7,968.7175
177,960.86,969.63,967.66
178,950.52,954.89,953.53
179,941.95,953.13,951.0
180,930.985,944.66,940.81
181,925.0,936.14,927.69
182,924.2,936.29,932.26
183,933.22,934.24,919.46
184,943.99,944.9995,929.68
185,951.35,951.66,937.82
186,950.66,963.24,961.01
187,961.6,967.22,948.09
188,990.0,993.99,972.09
189,975.5,986.62,986.09
190,976.87,980.5,976.62
191,970.79,979.67,978.59
192,975.31,980.79,968.99
193,969.65,979.3,975.22
194,957.91,959.95,958.62
195,948.02,960.6775,960.18
196,975.5,979.7,967.93
197,972.04,977.91,970.5
198,958.72,968.0,961.81
199,1005.49,1005.5,970.12
200,1004.23,1005.6,1004.28
201,998.82,1003.91,1001.59
202,1003.31,1008.61,996.68
203,997.89,1007.4,1003.88
204,988.59,996.48,996.12
205,990.96,993.14,988.29
206,996.21,999.6,987.09
207,992.5,997.62,996.17
208,992.0,996.39,993.27
209,979.0,995.78,991.86
210,975.26,978.115,977.61
211,969.96,974.51,970.55
212,957.0,964.82,964.07
213,952.82,959.56,954.65
214,943.2,954.18,950.5
215,959.7,960.99,942.17
216,963.55,965.8955,964.61
217,955.29,962.7,959.22
218,957.85,957.98,955.14
219,951.29,957.99,955.89
220,956.22,956.71,954.84
221,961.33,962.2,956.71
222,947.45,960.99,958.69
223,956.72,958.4395,950.28
224,950.29,959.14,954.72
225,936.05,950.2,948.45
226,933.27,942.985,937.09
227,924.15,935.82,932.82
228,929.0,935.9,924.52
229,890.0,893.3774,891.44
230,891.39,892.99,889.14
231,882.26,892.25,888.84
232,868.44,879.96,878.93
233,860.62,862.44,858.95
234,859.74,863.93,860.08
235,857.385,860.2,856.51
236,852.54,857.39,853.99
237,841.38,855.64,855.13
238,841.04,843.73,840.18
239,838.46,843.72,841.46
240,841.7,844.63,839.88
241,841.54,846.7372,841.7
242,845.0,845.88,842.1
243,849.5,853.59,845.095
244,854.71,860.59,848.91
245,848.0,853.0,852.57
246,848.75,859.0,856.75
247,846.83,849.56,847.8
248,851.98,852.0,849.48
249,842.75,851.585,849.87
250,839.69,845.4,840.63
251,828.09,841.38,838.51
252,842.0,844.0,835.14
253,841.39,841.69,839.65
254,849.48,855.35,849.8
255,870.06,873.47,850.14
256,869.48,870.34,867.91
257,873.68,874.42,872.37
258,870.53,872.71,870.0
259,867.94,869.88,868.39
260,863.75,867.58,865.91
261,860.83,867.13,864.58
262,862.7,864.2289999999999,861.405
263,853.69,860.71,857.84
264,853.12,856.93,853.64
265,847.26,853.33,851.15
266,846.86,848.94,847.27
267,848.94,850.82,849.08
268,856.31,856.49,849.85
269,851.38,858.0,856.75
270,847.35,848.83,844.93
271,844.95,850.67,849.67
272,847.65,848.36,847.81
273,851.08,852.62,851.0
274,848.0,853.79,851.36
275,847.99,852.2,849.27
276,841.31,846.94,846.55
277,838.5,842.69,842.17
278,838.81,841.7725,837.32
279,839.77,842.0,840.03
280,837.7,841.735,838.96
281,832.95,837.15,834.85
282,831.73,831.98,830.06
283,830.53,834.25,829.88
284,825.5,831.92,829.23
285,820.92,822.39,821.62
286,823.13,826.13,820.13
287,815.0,824.56,818.26
288,824.0,824.0,815.24
289,819.5,823.07,820.19
290,837.06,837.23,823.83
291,859.0,867.0,845.03
292,859.05,861.0,856.98
293,853.55,858.7936,858.45
294,846.98,851.52,849.53
295,831.61,845.5428,844.43
296,829.09,829.24,828.17
297,829.0,832.9999,824.37
298,829.8,829.81,829.02
299,830.0,830.18,827.46
300,831.0,834.65,830.94
301,828.38,830.38,829.53
302,826.62,829.9,829.86
303,827.07,829.41,826.01
304,826.37,830.43,827.18
305,814.99,828.96,825.21
306,807.5,813.74,813.02
307,809.89,813.43,807.77
308,800.62,811.435,808.01
309,803.21,803.285,792.45
310,802.33,805.75,802.88
311,813.33,813.33,804.57
312,808.68,816.0,809.93
313,808.01,810.9696,807.8
314,809.1,811.07,809.68
315,815.72,815.72,812.2
316,813.37,816.49,815.2
317,809.28,816.22,812.5
318,818.31,819.2,809.84
319,817.36,823.0,815.65
320,815.92,824.26,817.89
321,812.39,824.3,815.34
322,804.82,811.35,807.9
323,799.3,809.95,809.45
324,792.95,799.0,795.17
325,779.95,792.0,791.47
326,780.19,785.28,776.18
327,770.0,780.0,778.22
328,761.9,770.5,764.46
329,778.55,778.6,764.33
330,789.1,791.51,775.88
331,788.38,796.44,789.44
332,778.35,799.74,785.79
333,782.61,782.9,780.23
334,789.52,789.52,779.0
335,788.99,793.77,785.0
336,778.1,786.55,784.8
337,787.17,791.29,775.97
338,782.5,788.9,786.16
339,781.84,783.5,779.98
340,765.47,780.2376,775.16
